Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
AALI,Astra Agro Lestari Tbk.,1997-12-09,1924688333.0,Utama,Consumer Non-Cyclicals,8000.0,15397506664000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,3560849376.0,Utama,Infrastructures,452.0,1609503917952.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2004-03-18,2023-01-06
ADMR,Adaro Minerals Indonesia Tbk.,2022-01-03,40882331500.0,Pengembangan,Energy,1560.0,63776437140000.0,2022-01-03 09:00:00,2023-01-06 15:59:00,2022-01-03 09:00:00,2023-01-06 15:00:00,2022-01-03,2023-01-06
ADRO,Adaro Energy Indonesia Tbk.,2008-07-16,31985962000.0,Utama,Energy,3140.0,100435920680000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2008-07-16,2023-01-06
AKRA,AKR Corporindo Tbk.,1994-10-03,20073474600.0,Utama,Energy,1270.0,25493312742000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ANTM,Aneka Tambang Tbk.,1997-11-27,24030764725.0,Utama,Basic Materials,1985.0,47701067979125.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ASII,Astra International Tbk.,1990-04-04,40483553140.0,Utama,Industrials,5450.0,220635364613000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ASRI,Alam Sutera Realty Tbk.,2007-12-18,19649411888.0,Utama,Properties & Real Estate,153.0,3006360018864.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-12-18,2023-01-06
BBCA,Bank Central Asia Tbk.,2000-05-31,122042299500.0,Utama,Financials,8300.0,1012951085850000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BBNI,Bank Negara Indonesia (Persero,1996-11-25,18462169893.0,Utama,Financials,8900.0,164313312047700.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
